tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,1284307.81,1284307.81,166562.61,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,1411090.31,1411090.31,96078.13,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-21,1,1351728.99,1351728.99,148204.55,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-21,1,1636517.02,1636517.02,195652.61,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,1658673.43,1658673.43,194584.22,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,1545790.22,1545790.22,191841.18,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,1612534.76,1612534.76,228450.61,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,1593050.71,1593050.71,185116.12,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,1690807.01,1690807.01,214946.31,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,1521318.55,1581917.41,255630.14,True
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-21,1,1431162.82,1431162.82,198429.93,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,1548248.59,1548248.59,222591.38,False
