month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,10,155968.47,37432.43,True,0.0539
2025-08,9,145243.75,17429.25,False,0.0314
2025-09,10,159696.46,38327.15,True,0.0548
2025-10,10,164240.84,39417.8,True,0.0417
2025-11,11,181371.15,43529.08,True,0.0514
2025-12,10,167118.93,40108.54,True,0.039
2026-01,10,164087.19,39380.93,True,0.0401
2026-02,11,181521.63,43565.19,True,0.0446
2026-03,10,165330.35,39679.28,True,0.0386
2026-04,11,189173.99,45401.76,True,0.0339
2026-05,10,166999.43,40079.86,True,0.045
2026-06,10,165394.27,39694.62,True,0.0365
