month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,41,639054.85,153373.16,True,0.0641
2025-08,38,620069.85,148816.76,True,0.0519
2025-09,36,579360.49,139046.52,True,0.0571
2025-10,34,548244.42,65789.33,False,0.0769
2025-11,41,637885.22,153092.45,True,0.0473
2025-12,36,577979.25,69357.51,False,0.0603
2026-01,41,677265.59,81271.87,False,0.0545
2026-02,39,639199.27,153407.82,True,0.0597
2026-03,37,607792.57,145870.22,True,0.074
2026-04,31,516787.38,124028.97,True,0.0589
2026-05,44,741066.83,177856.04,True,0.0536
2026-06,41,700498.57,168119.66,True,0.0742
