tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-25,5,647358.23,647358.23,56277.58,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-21,1,670133.81,670133.81,82116.1,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-21,1,682668.03,682668.03,82009.84,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,741111.99,741111.99,81060.0,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,893910.46,893910.46,82647.63,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-21,1,761405.35,761405.35,124952.27,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-21,1,763080.82,763080.82,55358.25,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-23,3,748619.72,748619.72,85634.42,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-22,2,801476.34,801476.34,97093.89,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-22,2,873960.44,873960.44,112275.47,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-21,1,726410.25,726410.25,100617.83,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-22,2,779983.16,779983.16,92023.68,False
