tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,843963.91,843963.91,104533.21,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-21,1,858142.38,858142.38,68644.0,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-23,3,895017.71,895017.71,87693.41,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,925377.63,925377.63,116761.99,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-21,1,996632.61,996632.61,135818.12,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-21,1,963507.6,963507.6,94101.55,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-22,2,801209.08,801209.08,95571.51,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,889725.31,889725.31,101889.31,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-21,1,908462.81,908462.81,127593.4,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,824486.2,824486.2,65371.5,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-21,1,930725.05,930725.05,106920.72,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,807780.44,807780.44,101997.17,False
