date,inflow_amount,outflow_amount,transaction_count,unique_counterparty_count,refund_rate
2025-07-01,303518.06,246482.28,6,3,0.0068
2025-07-02,437335.01,325585.35,6,5,0.0079
2025-07-03,264403.89,201887.28,5,4,0.0079
2025-07-04,272800.88,221698.56,3,3,0.0131
2025-07-05,112386.69,90383.17,4,0,0.0081
2025-07-06,125600.93,101399.8,2,1,0.0129
2025-07-07,430149.69,360316.76,5,7,0.0
2025-07-08,178665.64,140520.35,9,1,0.0104
2025-07-09,307874.91,251098.81,3,4,0.0065
2025-07-10,266377.24,217939.37,6,1,0.0077
2025-07-11,355569.1,265463.32,4,9,0.0133
2025-07-12,161495.77,133600.91,7,2,0.0041
2025-07-13,110293.46,87607.89,6,3,0.0035
2025-07-14,264016.86,213390.34,4,7,0.0058
2025-07-15,236357.07,184760.64,6,2,0.0048
2025-07-16,318122.24,239130.96,8,9,0.0101
2025-07-17,269408.35,206019.6,3,6,0.0046
2025-07-18,259611.44,189920.42,8,2,0.0133
2025-07-19,138918.91,106314.11,2,2,0.0053
2025-07-20,105677.0,79838.98,5,3,0.0119
2025-07-21,385783.53,290204.01,4,8,0.009
2025-07-22,342522.33,282051.98,8,7,0.011
2025-07-23,238883.44,172815.21,4,1,0.0088
2025-07-24,421412.52,341021.61,3,7,0.0058
2025-07-25,391450.61,320345.63,5,3,0.005
2025-07-26,147985.32,125922.63,4,1,0.0055
2025-07-27,108279.83,83121.03,6,2,0.0084
2025-07-28,228327.35,182853.05,5,4,0.0124
2025-07-29,0.0,0.0,0,0,0.0
2025-07-30,413421.03,349799.12,8,9,0.0079
2025-07-31,325348.62,257769.13,9,5,0.01
2025-08-01,265363.84,210094.65,3,8,0.0091
2025-08-02,155895.52,129871.15,6,2,0.0106
2025-08-03,117249.35,93667.97,8,1,0.0067
2025-08-04,318786.37,240547.07,10,8,0.0079
2025-08-05,300355.65,254801.86,7,4,0.0076
2025-08-06,371090.58,305143.4,8,7,0.0066
2025-08-07,245363.75,191834.57,7,2,0.0153
2025-08-08,308966.44,222430.28,7,8,0.0056
2025-08-09,153188.98,129224.2,8,3,0.0033
2025-08-10,171938.7,128174.73,5,1,0.007
2025-08-11,274952.45,221771.87,4,3,0.0057
2025-08-12,372760.21,292865.63,9,5,0.0031
2025-08-13,341660.87,282304.42,10,9,0.0063
2025-08-14,362946.95,303225.85,10,5,0.0153
2025-08-15,445964.37,382863.13,7,7,0.0076
2025-08-16,142290.3,125274.98,5,5,0.0064
2025-08-17,104052.8,87115.71,6,4,0.0059
2025-08-18,314949.17,266548.29,6,9,0.0125
2025-08-19,283159.38,236844.57,4,5,0.0102
2025-08-20,220624.19,172899.14,7,0,0.0116
2025-08-21,238171.89,186992.17,5,3,0.0126
2025-08-22,395121.34,315822.12,7,5,0.0061
2025-08-23,147487.29,123883.52,6,2,0.0089
2025-08-24,124609.29,97791.4,5,4,0.0037
2025-08-25,247121.73,195996.73,10,3,0.0059
2025-08-26,257363.5,197442.39,3,2,0.0056
2025-08-27,232213.17,200220.25,5,4,0.0112
2025-08-28,0.0,0.0,0,0,0.0
2025-08-29,0.0,0.0,0,0,0.0
2025-08-30,124114.46,101614.66,5,1,0.0052
2025-08-31,145314.97,111546.13,3,1,0.0087
2025-09-01,210890.0,166717.77,5,2,0.0094
2025-09-02,347508.28,264755.97,7,3,0.0133
2025-09-03,290360.08,224132.31,9,6,0.0116
2025-09-04,231017.84,185055.21,4,5,0.0052
2025-09-05,444967.2,357902.74,6,13,0.0
2025-09-06,162454.41,124333.41,6,2,0.0108
2025-09-07,110897.13,87442.87,3,0,0.0071
2025-09-08,366353.64,279551.3,7,9,0.0041
2025-09-09,487909.55,402881.08,7,8,0.0096
2025-09-10,297931.28,227546.42,6,8,0.0056
2025-09-11,404741.96,306845.39,4,8,0.0075
2025-09-12,415910.41,331556.48,9,5,0.0052
2025-09-13,163656.65,130154.46,5,3,0.0091
2025-09-14,115952.11,82048.17,7,3,0.0113
2025-09-15,310838.94,246291.41,10,5,0.007
2025-09-16,325396.12,272632.73,6,5,0.0083
2025-09-17,366730.72,290315.64,6,7,0.0111
2025-09-18,318024.25,271355.42,11,4,0.0112
2025-09-19,602315.75,447190.03,8,17,0.0101
2025-09-20,169446.86,124459.22,3,2,0.0051
2025-09-21,142922.0,103150.38,1,2,0.0112
2025-09-22,258920.49,189252.9,7,8,0.004
2025-09-23,188001.14,145421.86,1,2,0.0071
2025-09-24,310439.96,256444.61,4,1,0.0073
2025-09-25,247152.72,209156.04,7,5,0.0029
2025-09-26,490315.92,409289.19,9,11,0.0128
2025-09-27,175535.61,132414.72,10,2,0.0064
2025-09-28,173017.93,147815.17,5,1,0.0111
2025-09-29,269610.26,230250.72,7,4,0.0024
2025-09-30,300096.99,253020.98,8,7,0.0033
2025-10-01,422464.8,341011.34,5,3,0.0109
2025-10-02,340361.14,292427.6,9,7,0.0043
2025-10-03,399513.96,342705.45,9,10,0.0158
2025-10-04,137947.65,107709.39,4,4,0.0035
2025-10-05,179724.51,139566.35,4,3,0.0043
2025-10-06,456796.16,352372.83,6,6,0.0069
2025-10-07,314597.61,251671.41,7,6,0.0106
2025-10-08,313948.09,238187.41,6,2,0.005
2025-10-09,392494.7,340709.41,9,8,0.0083
