month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,40,646824.67,155237.92,True,0.0919
2025-08,44,702664.6,84319.75,False,0.1139
2025-09,48,787716.36,189051.93,True,0.1046
2025-10,37,634886.28,152372.71,True,0.1069
2025-11,38,614835.19,147560.45,True,0.1092
2025-12,39,626184.72,150284.33,True,0.109
2026-01,40,653644.93,156874.78,True,0.1104
2026-02,44,715514.24,171723.42,True,0.1003
2026-03,33,534014.88,128163.57,True,0.1085
2026-04,40,663120.28,159148.87,True,0.1027
2026-05,35,581819.35,139636.64,True,0.1098
2026-06,43,729524.04,175085.77,True,0.1131
