month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,13,206478.09,49554.74,True,0.0864
2025-08,13,205667.75,49360.26,True,0.1189
2025-09,13,209946.93,50387.26,True,0.1163
2025-10,14,221566.35,53175.92,True,0.1343
2025-11,15,236129.17,28335.5,False,0.1501
2025-12,13,208034.72,24964.17,False,0.1597
2026-01,13,219174.9,26300.99,False,0.1671
2026-02,13,212454.44,50989.07,True,0.1866
2026-03,12,198222.04,47573.29,True,0.1928
2026-04,12,200034.02,48008.16,True,0.2123
2026-05,12,202978.8,24357.46,False,0.2222
2026-06,12,193732.36,46495.77,True,0.2401
