date,closing_balance,bounce_count,emi_debit,overdraft_used
2025-07-01,243434.23,0,0.0,False
2025-07-02,230369.41,0,0.0,False
2025-07-03,225887.26,0,0.0,False
2025-07-04,225383.73,0,0.0,False
2025-07-05,207980.51,0,35000.0,False
2025-07-06,218174.87,1,0.0,False
2025-07-07,212607.77,0,0.0,False
2025-07-08,213546.73,0,0.0,False
2025-07-09,186769.49,1,0.0,False
2025-07-10,189790.96,0,0.0,False
2025-07-11,206762.3,0,0.0,False
2025-07-12,214899.32,1,0.0,False
2025-07-13,221871.33,0,0.0,False
2025-07-14,224722.81,0,0.0,False
2025-07-15,231030.07,0,0.0,False
2025-07-16,232766.13,1,0.0,False
2025-07-17,255355.95,0,0.0,False
2025-07-18,268233.53,0,0.0,False
2025-07-19,273739.81,1,0.0,False
2025-07-20,278953.61,0,0.0,False
2025-07-21,260209.29,0,0.0,False
2025-07-22,280585.18,0,0.0,False
2025-07-23,273075.24,0,0.0,False
2025-07-24,265618.67,0,0.0,False
2025-07-25,260432.01,0,0.0,False
2025-07-26,290451.16,0,0.0,False
2025-07-27,304078.74,1,0.0,False
2025-07-28,301560.28,0,0.0,False
2025-07-29,321970.06,0,0.0,False
2025-07-30,306750.93,1,0.0,False
2025-07-31,308014.13,0,0.0,False
2025-08-01,302180.31,0,0.0,False
2025-08-02,312156.53,0,0.0,False
2025-08-03,309375.71,0,0.0,False
2025-08-04,288155.03,0,0.0,False
2025-08-05,266305.76,0,35000.0,False
2025-08-06,256445.56,0,0.0,False
2025-08-07,257089.09,1,0.0,False
2025-08-08,267731.04,0,0.0,False
2025-08-09,280512.01,0,0.0,False
2025-08-10,274199.66,0,0.0,False
2025-08-11,277959.99,1,0.0,False
2025-08-12,281262.7,0,0.0,False
2025-08-13,281915.45,0,0.0,False
2025-08-14,332209.83,0,0.0,False
2025-08-15,332037.56,0,0.0,False
2025-08-16,322386.12,0,0.0,False
2025-08-17,325980.34,0,0.0,False
2025-08-18,317976.78,0,0.0,False
2025-08-19,330866.73,0,0.0,False
2025-08-20,347756.98,0,0.0,False
2025-08-21,321437.6,0,0.0,False
2025-08-22,346906.73,0,0.0,False
2025-08-23,375206.49,0,0.0,False
2025-08-24,390528.46,0,0.0,False
2025-08-25,411444.93,0,0.0,False
2025-08-26,412278.33,0,0.0,False
2025-08-27,380177.1,0,0.0,False
2025-08-28,386661.99,0,0.0,False
2025-08-29,387691.09,0,0.0,False
2025-08-30,403124.89,0,0.0,False
2025-08-31,400181.56,0,0.0,False
2025-09-01,387179.77,0,0.0,False
2025-09-02,394747.83,0,0.0,False
2025-09-03,371329.33,1,0.0,False
2025-09-04,379755.58,0,0.0,False
2025-09-05,343905.4,0,35000.0,False
2025-09-06,374236.52,0,0.0,False
2025-09-07,363334.36,1,0.0,False
2025-09-08,367925.69,0,0.0,False
2025-09-09,346378.87,0,0.0,False
2025-09-10,348399.61,0,0.0,False
2025-09-11,340776.63,0,0.0,False
2025-09-12,363675.49,0,0.0,False
2025-09-13,376171.65,0,0.0,False
2025-09-14,394214.17,0,0.0,False
2025-09-15,393430.42,0,0.0,False
2025-09-16,419415.15,0,0.0,False
2025-09-17,421292.32,0,0.0,False
2025-09-18,443248.57,1,0.0,False
2025-09-19,458573.55,0,0.0,False
2025-09-20,460010.59,0,0.0,False
2025-09-21,494539.1,0,0.0,False
2025-09-22,501350.24,0,0.0,False
2025-09-23,502923.76,1,0.0,False
2025-09-24,511937.45,0,0.0,False
2025-09-25,540107.51,0,0.0,False
2025-09-26,498677.34,0,0.0,False
2025-09-27,494756.48,0,0.0,False
2025-09-28,497450.97,0,0.0,False
2025-09-29,511141.27,0,0.0,False
2025-09-30,516523.95,1,0.0,False
2025-10-01,512036.01,0,0.0,False
2025-10-02,532731.94,0,0.0,False
2025-10-03,535585.03,0,0.0,False
2025-10-04,541540.22,0,0.0,False
2025-10-05,505160.8,0,35000.0,False
2025-10-06,517226.54,0,0.0,False
2025-10-07,539442.11,0,0.0,False
2025-10-08,551222.22,0,0.0,False
2025-10-09,575012.49,0,0.0,False
2025-10-10,574862.08,0,0.0,False
2025-10-11,602774.0,0,0.0,False
2025-10-12,606201.96,0,0.0,False
2025-10-13,590868.96,0,0.0,False
2025-10-14,584581.65,0,0.0,False
2025-10-15,592489.05,0,0.0,False
2025-10-16,595643.09,0,0.0,False
2025-10-17,590740.84,0,0.0,False
2025-10-18,575920.99,0,0.0,False
2025-10-19,572853.34,0,0.0,False
2025-10-20,587464.09,0,0.0,False
2025-10-21,584534.26,0,0.0,False
2025-10-22,581872.27,1,0.0,False
2025-10-23,601749.81,1,0.0,False
2025-10-24,596106.72,0,0.0,False
2025-10-25,606106.94,0,0.0,False
2025-10-26,619118.55,0,0.0,False
2025-10-27,637250.21,0,0.0,False
2025-10-28,658155.35,0,0.0,False
2025-10-29,674336.31,1,0.0,False
2025-10-30,679012.45,0,0.0,False
2025-10-31,668289.64,0,0.0,False
2025-11-01,661820.95,0,0.0,False
2025-11-02,694540.44,0,0.0,False
2025-11-03,700130.59,0,0.0,False
2025-11-04,719226.06,0,0.0,False
2025-11-05,674540.69,0,35000.0,False
2025-11-06,677874.92,1,0.0,False
2025-11-07,683344.87,0,0.0,False
2025-11-08,693141.17,0,0.0,False
2025-11-09,679685.32,0,0.0,False
2025-11-10,679412.35,0,0.0,False
2025-11-11,693879.85,0,0.0,False
2025-11-12,677204.3,0,0.0,False
2025-11-13,655941.35,0,0.0,False
2025-11-14,657414.87,0,0.0,False
2025-11-15,646751.8,0,0.0,False
2025-11-16,653630.43,0,0.0,False
2025-11-17,648511.56,0,0.0,False
2025-11-18,628599.55,0,0.0,False
2025-11-19,615217.18,0,0.0,False
2025-11-20,611125.82,0,0.0,False
2025-11-21,605181.23,0,0.0,False
2025-11-22,607637.83,0,0.0,False
2025-11-23,600164.41,0,0.0,False
2025-11-24,603936.68,1,0.0,False
2025-11-25,580513.3,0,0.0,False
2025-11-26,570595.22,0,0.0,False
2025-11-27,562513.45,0,0.0,False
2025-11-28,547888.91,1,0.0,False
2025-11-29,559933.67,0,0.0,False
2025-11-30,576527.59,0,0.0,False
2025-12-01,580139.62,0,0.0,False
2025-12-02,595572.74,0,0.0,False
2025-12-03,628785.64,1,0.0,False
2025-12-04,657650.05,0,0.0,False
2025-12-05,610694.8,0,35000.0,False
2025-12-06,594062.71,0,0.0,False
2025-12-07,587831.98,1,0.0,False
2025-12-08,601994.52,1,0.0,False
2025-12-09,627900.53,1,0.0,False
2025-12-10,656971.9,0,0.0,False
2025-12-11,680513.23,0,0.0,False
2025-12-12,666364.87,0,0.0,False
2025-12-13,690972.88,0,0.0,False
2025-12-14,676034.63,1,0.0,False
2025-12-15,663462.18,0,0.0,False
2025-12-16,673655.42,0,0.0,False
2025-12-17,687487.94,0,0.0,False
2025-12-18,651222.43,0,0.0,False
2025-12-19,668034.69,0,0.0,False
2025-12-20,666873.63,0,0.0,False
2025-12-21,655072.13,0,0.0,False
2025-12-22,657875.25,1,0.0,False
2025-12-23,681595.43,1,0.0,False
2025-12-24,697925.39,0,0.0,False
2025-12-25,688856.66,1,0.0,False
2025-12-26,709311.61,0,0.0,False
2025-12-27,715966.61,0,0.0,False
2025-12-28,739927.18,0,0.0,False
2025-12-29,741286.62,0,0.0,False
2025-12-30,749139.34,0,0.0,False
2025-12-31,753292.52,1,0.0,False
2026-01-01,760885.6,0,0.0,False
2026-01-02,787590.63,0,0.0,False
2026-01-03,797238.23,0,0.0,False
2026-01-04,792874.19,1,0.0,False
2026-01-05,740743.15,1,35000.0,False
2026-01-06,761977.24,0,0.0,False
2026-01-07,779169.52,0,0.0,False
2026-01-08,775323.27,1,0.0,False
2026-01-09,755973.49,0,0.0,False
2026-01-10,762612.95,0,0.0,False
2026-01-11,787668.26,0,0.0,False
2026-01-12,760495.62,0,0.0,False
2026-01-13,783870.6,0,0.0,False
2026-01-14,741391.71,0,0.0,False
2026-01-15,729203.99,0,0.0,False
2026-01-16,725634.06,1,0.0,False
2026-01-17,745503.99,1,0.0,False
2026-01-18,742347.37,0,0.0,False
2026-01-19,743119.01,1,0.0,False
2026-01-20,752302.49,1,0.0,False
2026-01-21,745139.44,0,0.0,False
2026-01-22,723738.95,0,0.0,False
2026-01-23,734379.75,0,0.0,False
2026-01-24,732416.6,1,0.0,False
2026-01-25,748353.9,1,0.0,False
2026-01-26,777686.99,0,0.0,False
2026-01-27,782096.35,0,0.0,False
2026-01-28,777717.68,0,0.0,False
2026-01-29,808073.26,0,0.0,False
2026-01-30,825898.43,0,0.0,False
2026-01-31,845341.19,0,0.0,False
2026-02-01,845946.42,0,0.0,False
2026-02-02,846198.92,1,0.0,False
2026-02-03,839679.46,0,0.0,False
2026-02-04,848295.21,0,0.0,False
2026-02-05,812248.82,0,35000.0,False
2026-02-06,825278.96,0,0.0,False
2026-02-07,817875.07,0,0.0,False
2026-02-08,836613.47,0,0.0,False
2026-02-09,846761.8,0,0.0,False
2026-02-10,864419.43,0,0.0,False
2026-02-11,856641.41,0,0.0,False
2026-02-12,887069.31,0,0.0,False
2026-02-13,876518.23,0,0.0,False
2026-02-14,895115.27,0,0.0,False
2026-02-15,885440.66,1,0.0,False
2026-02-16,890065.46,1,0.0,False
2026-02-17,919178.81,0,0.0,False
2026-02-18,927841.76,0,0.0,False
2026-02-19,926451.93,0,0.0,False
