month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,43,691506.13,165961.47,True,0.0923
2025-08,41,642246.65,154139.2,True,0.0928
2025-09,44,724823.8,173957.71,True,0.0854
2025-10,48,808447.67,194027.44,True,0.0804
2025-11,51,798327.22,95799.27,False,0.0827
2025-12,50,829604.3,199105.03,True,0.0784
2026-01,40,655522.55,157325.41,True,0.0965
2026-02,37,595889.12,143013.39,True,0.0838
2026-03,42,679817.16,163156.12,True,0.098
2026-04,40,642520.69,154204.97,True,0.086
2026-05,34,576719.59,138412.7,True,0.0926
2026-06,46,765919.23,183820.62,True,0.0892
