tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-31,11,898207.23,898207.23,111302.08,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-21,1,888907.49,888907.49,133571.26,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-31,11,824541.51,906553.29,79593.81,True
2025-10-01,GSTR-1/3B,2025-11-20,2025-12-05,15,928775.78,928775.78,94672.47,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-21,1,1033344.09,1033344.09,135696.42,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-30,10,915354.04,915354.04,58133.42,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-24,4,875677.29,942461.54,108215.27,True
2026-02-01,GSTR-1/3B,2026-03-20,2026-04-01,12,907166.14,907166.14,127318.84,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-21,1,897543.19,897543.19,109665.94,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-21,1,790841.39,790841.39,135030.02,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-26,6,810178.64,810178.64,103601.66,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-24,4,789484.21,789484.21,83352.02,False
