month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,27,429904.17,103177.0,True,0.0187
2025-08,27,425538.66,102129.28,True,0.0259
2025-09,26,420277.96,100866.71,True,0.0207
2025-10,29,463418.78,111220.51,True,0.0188
2025-11,30,487788.83,117069.32,True,0.018
2025-12,28,436777.4,104826.58,True,0.0261
2026-01,27,460473.48,110513.64,True,0.0254
2026-02,29,474964.26,113991.42,True,0.0102
2026-03,28,454103.36,108984.81,True,0.0268
2026-04,28,474858.49,113966.04,True,0.0228
2026-05,27,442803.15,106272.76,True,0.0081
2026-06,27,447214.12,107331.39,True,0.0236
