tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-21,1,588316.11,588316.11,49700.11,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-21,1,632260.22,632260.22,86205.89,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-23,3,663013.86,663013.86,51519.89,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,745182.54,745182.54,114858.76,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-22,2,766689.24,766689.24,101561.47,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-21,1,716114.44,716114.44,87647.14,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-21,1,695954.0,695954.0,78687.28,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-23,3,700971.19,700971.19,123774.97,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-22,2,700431.42,700431.42,78510.09,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-21,1,668815.19,668815.19,59266.24,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-21,1,699648.07,699648.07,75994.98,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-23,3,648167.34,598648.63,78023.83,True
