month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,31,472639.77,113433.54,True,0.092
2025-08,30,477847.21,114683.33,True,0.085
2025-09,32,519475.02,124674.0,True,0.0909
2025-10,38,606351.64,145524.39,True,0.0882
2025-11,40,652246.79,156539.23,True,0.1006
2025-12,37,603427.55,144822.61,True,0.093
2026-01,35,592595.84,142223.0,True,0.1041
2026-02,36,578284.49,138788.28,True,0.1104
2026-03,36,613799.26,147311.82,True,0.1046
2026-04,35,594927.33,142782.56,True,0.1058
2026-05,34,555695.9,133367.02,True,0.0903
2026-06,35,565129.82,135631.16,True,0.0936
