tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,1096473.33,1096473.33,131174.62,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-28,8,801541.13,801541.13,100496.62,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-22,2,840957.82,840957.82,93810.69,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,504086.0,504086.0,74202.21,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-21,1,656648.08,656648.08,81187.03,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-21,1,1592621.28,1592621.28,222185.24,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-03-05,13,753501.97,753501.97,94329.07,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-24,4,1283270.81,1283270.81,139134.53,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,995083.64,995083.64,131264.33,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-21,1,1173918.91,1173918.91,156873.79,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-21,1,1231805.9,1231805.9,165743.66,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,718850.98,718850.98,66955.73,False
