tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,794562.81,794562.81,71585.98,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,887765.44,887765.44,99536.86,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,919821.54,919821.54,105087.46,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,1078602.18,1078602.18,131542.86,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,1074446.59,1074446.59,130423.85,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,1060476.0,1060476.0,131077.33,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,854913.34,854913.34,127827.62,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,832793.32,832793.32,87617.36,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,932882.4,932882.4,102372.38,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,1031746.27,1031746.27,116185.33,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,924251.77,924251.77,132932.28,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,978800.17,978800.17,119182.15,False
