month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,16,257721.02,61853.04,True,0.1284
2025-08,16,268439.74,64425.54,True,0.1413
2025-09,15,239823.16,57557.56,True,0.1749
2025-10,16,257699.56,61847.89,True,0.1563
2025-11,17,271376.01,65130.24,True,0.1817
2025-12,16,262193.02,62926.32,True,0.1824
2026-01,14,227346.53,54563.17,True,0.1936
2026-02,16,267581.01,64219.44,True,0.2091
2026-03,15,245149.69,58835.93,True,0.2135
2026-04,15,254667.67,61120.24,True,0.2172
2026-05,15,255956.4,30714.77,False,0.2322
2026-06,15,242830.17,58279.24,True,0.2433
