tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-09-01,12,969757.15,969757.15,119332.23,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-30,10,929792.51,929792.51,124969.0,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-28,8,969151.15,1022333.39,109270.71,True
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-25,5,954791.34,1056276.19,168255.96,True
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-27,7,1076175.93,1076175.93,158638.35,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-27,7,954644.77,856642.26,78186.61,True
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-26,6,905741.15,905741.15,106767.42,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-27,7,897339.33,897339.33,163508.91,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-29,9,824770.25,793852.34,83268.29,True
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-31,11,910529.99,910529.99,112983.6,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-29,9,793293.57,793293.57,85160.1,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-08-02,13,834890.09,834890.09,81444.34,False
