tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-09-03,14,2208105.34,2208105.34,176187.57,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-22,2,1446359.15,1446359.15,185343.87,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-27,7,578814.82,578814.82,67127.04,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-23,3,1116724.38,1116724.38,155718.9,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,1210877.52,1210877.52,139388.82,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,1710058.32,1710058.32,217013.95,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-23,3,1817588.85,1817588.85,222229.98,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,852137.25,852137.25,87828.24,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,2703377.91,2703377.91,359676.12,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,1116927.64,1116927.64,112129.28,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,1539967.35,1539967.35,180741.31,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,2094585.4,1979679.29,257357.66,True
