month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,35,569211.93,136610.86,True,0.0286
2025-08,38,598632.33,143671.76,True,0.0393
2025-09,38,609836.85,146360.84,True,0.0453
2025-10,40,622140.37,149313.69,True,0.0254
2025-11,44,720374.43,172889.86,True,0.0303
2025-12,42,688302.8,165192.67,True,0.0385
2026-01,40,655690.27,157365.66,True,0.0463
2026-02,42,690604.78,165745.15,True,0.0359
2026-03,44,706193.26,169486.38,True,0.0354
2026-04,39,657312.4,157754.98,True,0.0413
2026-05,43,712548.58,171011.66,True,0.0275
2026-06,42,727013.1,174483.14,True,0.0402
