tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,1213571.07,1213571.07,161167.77,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-23,3,961887.14,961887.14,123894.94,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-22,2,1463219.47,1543697.67,178846.95,True
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,1065148.94,1065148.94,141135.82,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-24,4,810721.12,810721.12,87519.4,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-22,2,730088.66,730088.66,100761.66,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-21,1,1699178.94,1699178.94,178367.72,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-23,3,1005770.45,1005770.45,116213.56,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-23,3,1061758.75,1061758.75,144609.16,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,939867.05,939867.05,140033.6,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-22,2,1239014.87,1239014.87,175277.21,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,945816.72,945816.72,114988.22,False
