tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,837544.9,837544.9,87381.07,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,825984.95,825984.95,127323.4,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,860436.14,860436.14,106340.8,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,930534.08,930534.08,101424.4,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,893293.6,893293.6,123351.85,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,931827.92,931827.92,78729.8,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,920924.19,920924.19,103680.07,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,1002630.01,1002630.01,118937.29,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,931882.28,931882.28,107227.53,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,919186.06,919186.06,92636.66,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,906560.08,906560.08,93564.01,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,957343.98,1015782.7,102155.69,True
