tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,678581.99,678581.99,73762.01,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,773599.24,773599.24,109787.65,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,764510.63,764510.63,95269.21,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-22,2,811973.12,811973.12,122523.49,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-21,1,983219.79,983219.79,120751.3,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-22,2,789620.5,789620.5,101958.06,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,829706.37,829706.37,104262.11,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-21,1,783011.47,783011.47,80171.41,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-21,1,841610.6,841610.6,99344.72,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,822135.15,822135.15,94568.46,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,934931.43,934931.43,91925.03,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-21,1,819765.04,819765.04,103453.64,False
