tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-22,2,937551.76,937551.76,108034.69,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,955487.9,955487.9,106172.11,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-23,3,932182.48,932182.48,120416.82,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-21,1,1144560.39,1144560.39,78063.22,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,1311968.72,1311968.72,171800.72,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-22,2,1093161.53,1093161.53,148548.95,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-22,2,1067294.54,1067294.54,141351.73,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-21,1,1153270.66,1153270.66,169760.67,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-21,1,1189705.74,1189705.74,101663.7,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-21,1,1030752.15,1030752.15,116305.71,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-22,2,1056588.67,1056588.67,111957.88,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-23,3,1061989.85,1061989.85,123942.46,False
