month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,20,319218.39,76612.41,True,0.0319
2025-08,20,325757.67,78181.84,True,0.0248
2025-09,20,321692.17,38603.06,False,0.0395
2025-10,21,333983.8,80156.11,True,0.0407
2025-11,22,367150.46,88116.11,True,0.0477
2025-12,21,340434.37,81704.25,True,0.0343
2026-01,22,367886.29,88292.71,True,0.044
2026-02,21,368245.57,88378.94,True,0.0398
2026-03,23,377903.88,90696.93,True,0.0325
2026-04,22,368559.44,88454.27,True,0.0453
2026-05,21,359895.43,86374.9,True,0.0442
2026-06,21,349447.93,83867.5,True,0.0342
