tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-09-02,13,1232784.74,1232784.74,169474.14,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-10-05,15,1197573.36,1197573.36,177327.03,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-27,7,1171020.73,1171020.73,138127.15,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-30,10,1399041.96,1399041.96,128469.9,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-28,8,1239758.57,1239758.57,183522.88,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-27,7,1149805.21,1149805.21,124996.24,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-03-03,11,1212061.6,1212061.6,135495.08,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-30,10,1194319.54,1148237.08,178346.68,True
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-28,8,1121018.92,1121018.92,156819.38,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-24,4,993311.33,993311.33,118790.99,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-25,5,1167660.38,1167660.38,129259.31,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-28,8,1026113.07,1026113.07,145000.08,False
