month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,14,226919.49,54460.68,True,0.0582
2025-08,15,241210.59,57890.54,True,0.0765
2025-09,15,248733.77,59696.1,True,0.0611
2025-10,18,300282.38,72067.77,True,0.0829
2025-11,18,281142.33,67474.16,True,0.0765
2025-12,16,265440.42,63705.7,True,0.0682
2026-01,16,258295.7,61990.97,True,0.0621
2026-02,16,265634.46,63752.27,True,0.0711
2026-03,16,261828.2,62838.77,True,0.087
2026-04,16,260186.63,62444.79,True,0.0743
2026-05,16,262948.88,31553.87,False,0.0822
2026-06,15,244955.79,58789.39,True,0.07
