month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,16,264327.16,63438.52,True,0.0818
2025-08,22,353940.69,84945.77,True,0.0835
2025-09,22,356074.49,85457.88,True,0.0743
2025-10,20,321038.07,77049.14,True,0.0892
2025-11,23,369929.55,88783.09,True,0.079
2025-12,24,395212.75,47425.53,False,0.0857
2026-01,26,423826.09,50859.13,False,0.0828
2026-02,22,378512.54,45421.5,False,0.0773
2026-03,17,275337.9,33040.55,False,0.0948
2026-04,20,337381.64,80971.59,True,0.0927
2026-05,24,386290.23,92709.66,True,0.0967
2026-06,22,361671.82,86801.24,True,0.077
