month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,14,221930.89,53263.41,True,0.1617
2025-08,11,172241.53,41337.97,True,0.1527
2025-09,11,175642.58,21077.11,False,0.1505
2025-10,12,190011.51,22801.38,False,0.1484
2025-11,10,162215.61,38931.75,True,0.1428
2025-12,13,212088.54,50901.25,True,0.1555
2026-01,11,181161.24,21739.35,False,0.1436
2026-02,11,180924.57,43421.9,True,0.1649
2026-03,11,184965.51,44391.72,True,0.1569
2026-04,11,182681.64,43843.59,True,0.1406
2026-05,10,161526.47,38766.35,True,0.1514
2026-06,11,183204.15,21984.5,False,0.1617
