tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-21,1,2385724.81,2385724.81,273415.71,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-10-01,11,2228146.39,2228146.39,287044.22,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-11-11,22,1402574.66,1402574.66,199727.14,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-12-02,12,1111733.55,1111733.55,111840.56,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-24,4,2067925.61,2067925.61,233082.77,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-23,3,1849338.84,1849338.84,228622.8,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-03-09,17,2433621.22,2433621.22,227147.1,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-22,2,1697648.78,1697648.78,193781.15,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,1698024.52,1698024.52,210281.46,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-28,8,1468828.24,1468828.24,146447.74,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-21,1,1350578.07,1350578.07,101468.08,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-28,8,1961465.02,1961465.02,225932.65,False
