tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,1256919.65,1256919.65,137450.2,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,1274153.77,1274153.77,142912.28,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,1209354.75,1209354.75,83410.84,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,1372992.56,1372992.56,156472.29,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,1394379.51,1394379.51,166866.46,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,1526721.81,1526721.81,188567.49,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,1453971.31,1453971.31,149168.54,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,1288494.13,1288494.13,166473.38,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,1389962.51,1389962.51,194950.62,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,1417918.97,1417918.97,190320.93,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,1371885.55,1371885.55,161680.04,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,1396835.77,1396835.77,137607.88,False
