month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,33,516037.58,61924.51,False,0.0233
2025-08,33,526770.29,126424.87,True,0.0061
2025-09,34,537427.31,128982.55,True,0.0143
2025-10,38,598999.35,143759.84,True,0.0229
2025-11,39,653361.39,156806.73,True,0.0179
2025-12,37,589316.24,141435.9,True,0.0238
2026-01,37,609997.97,146399.51,True,0.0183
2026-02,36,605488.65,145317.28,True,0.003
2026-03,38,645522.62,154925.43,True,0.021
2026-04,37,628451.04,150828.25,True,0.009
2026-05,37,615713.63,147771.27,True,0.0224
2026-06,40,648784.61,155708.31,True,0.0167
