tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-30,10,936508.74,936508.74,119945.1,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-10-03,13,960781.7,960781.7,145376.67,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-11-01,12,933214.29,933214.29,100150.34,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-12-04,14,965921.24,965921.24,120083.09,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-31,11,975232.0,975232.0,124075.45,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-31,11,893617.69,893617.69,99028.71,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-03-02,10,898114.19,898114.19,114409.65,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-30,10,852070.21,852070.21,81000.14,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-30,10,840879.99,840879.99,102925.85,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-29,9,909948.57,909948.57,115249.21,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-07-02,12,823861.03,823861.03,101927.12,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-30,10,886234.3,838625.44,56957.05,True
