tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-21,1,411346.14,411346.14,56172.78,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-22,2,464772.06,464772.06,67688.49,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-21,1,475612.56,475612.56,45371.23,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-21,1,564945.62,564945.62,77509.2,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-21,1,623306.42,623306.42,59069.5,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,515389.16,515389.16,61214.2,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,518499.77,551837.28,68044.41,True
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,489371.21,489371.21,60841.63,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-21,1,524254.59,524254.59,57053.42,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-21,1,556793.42,556793.42,71703.86,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-21,1,503309.56,503309.56,58266.76,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-22,2,554002.69,554002.69,63722.95,False
