tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,1199638.5,1199638.5,135771.49,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,1217061.25,1217061.25,138108.51,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,1183602.02,1183602.02,125551.3,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,1247412.33,1247412.33,121306.28,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,1415370.87,1415370.87,222568.41,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,1309777.28,1309777.28,126381.94,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,1242586.13,1242586.13,142258.5,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,1364055.35,1364055.35,161772.02,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,1332205.01,1332205.01,153833.17,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,1298949.22,1298949.22,121505.71,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,1252751.63,1252751.63,161522.94,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,1336442.44,1336442.44,156090.49,False
