month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,10,161510.12,19381.21,False,0.1498
2025-08,11,179695.27,21563.43,False,0.1475
2025-09,11,178780.61,42907.35,True,0.1585
2025-10,12,203392.49,24407.1,False,0.1749
2025-11,11,171589.57,41181.5,True,0.1771
2025-12,11,185647.87,44555.49,True,0.1812
2026-01,10,164125.96,19695.12,False,0.1875
2026-02,10,159818.03,38356.33,True,0.2133
2026-03,10,169143.21,40594.37,True,0.1892
2026-04,10,166015.64,39843.75,True,0.2118
2026-05,10,167239.88,20068.79,False,0.205
2026-06,9,151616.47,36387.95,True,0.2311
