month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,9,150808.75,36194.1,True,0.0941
2025-08,10,160122.47,38429.39,True,0.0827
2025-09,10,160658.45,38558.03,True,0.0841
2025-10,12,195544.55,46930.69,True,0.09
2025-11,13,207648.06,49835.53,True,0.0765
2025-12,11,179801.59,43152.38,True,0.0772
2026-01,11,178851.98,42924.48,True,0.0867
2026-02,11,174226.8,41814.43,True,0.0755
2026-03,11,184176.18,44202.28,True,0.083
2026-04,10,165954.84,39829.16,True,0.0793
2026-05,10,163279.09,39186.98,True,0.082
2026-06,10,170896.51,41015.16,True,0.0886
