tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,598795.9,598795.9,75167.1,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,723613.11,723613.11,79785.79,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,684664.47,684664.47,84578.1,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,939152.88,939152.88,105684.19,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-21,1,956688.63,956688.63,124017.96,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-21,1,754963.37,754963.37,92417.4,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,694202.18,694202.18,76120.01,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,710413.09,710413.09,80865.41,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,791455.54,791455.54,92203.12,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,787274.58,787274.58,104752.39,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,650127.37,650127.37,76811.35,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-22,2,632099.57,632099.57,70839.77,False
