tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,1472522.89,1472522.89,130241.41,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,1562751.01,1562751.01,195143.63,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,1587123.01,1587123.01,230795.05,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,1888212.32,1888212.32,280779.63,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-21,1,1854611.62,1854611.62,262579.53,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,1700753.01,1700753.01,209428.61,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,1585576.65,1585576.65,139627.74,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,1703227.13,1703227.13,160775.77,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,1682204.02,1682204.02,286630.43,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,1686715.01,1686715.01,288718.26,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,1645863.0,1645863.0,193815.74,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,1464227.17,1464227.17,222857.01,False
