tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-23,3,1369579.6,1369579.6,184044.91,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,1342734.82,1342734.82,186359.85,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,1377157.72,1377157.72,157471.57,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-21,1,1571647.83,1571647.83,200893.63,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-22,2,1686963.45,1686963.45,220159.48,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,1580461.72,1580461.72,135291.63,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,1367628.4,1367628.4,145893.5,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,1647018.08,1647018.08,247700.03,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,1489047.59,1489047.59,113238.49,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,1631462.27,1631462.27,145779.22,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,1503218.16,1503218.16,172733.42,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,1461664.78,1461664.78,123140.02,False
