month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,27,428256.95,102781.67,True,0.0379
2025-08,27,446234.71,107096.33,True,0.0308
2025-09,28,446166.14,107079.87,True,0.0524
2025-10,32,520451.1,124908.26,True,0.0468
2025-11,39,624625.2,149910.05,True,0.0271
2025-12,30,488587.2,58630.46,False,0.0508
2026-01,30,488464.91,117231.58,True,0.0501
2026-02,30,487064.29,116895.43,True,0.0472
2026-03,32,534409.24,128258.22,True,0.0403
2026-04,30,501959.41,120470.26,True,0.0404
2026-05,28,457431.32,109783.52,True,0.0549
2026-06,29,488788.29,117309.19,True,0.0428
