date,inflow_amount,outflow_amount,transaction_count,unique_counterparty_count,refund_rate
2025-07-01,204697.21,153689.72,11,5,0.0189
2025-07-02,221888.76,175540.7,7,5,0.024
2025-07-03,271059.03,194770.66,6,7,0.0201
2025-07-04,211574.49,160719.44,9,4,0.0258
2025-07-05,110018.1,88233.87,4,2,0.0233
2025-07-06,115422.62,92950.1,0,2,0.024
2025-07-07,242697.51,197548.86,10,1,0.0189
2025-07-08,274429.36,207402.38,4,6,0.0219
2025-07-09,278920.21,229280.65,14,9,0.0271
2025-07-10,152913.84,126522.3,5,4,0.0199
2025-07-11,227223.47,177468.28,3,6,0.0224
2025-07-12,107332.18,84741.26,6,3,0.0175
2025-07-13,88605.03,62388.16,4,1,0.0221
2025-07-14,191346.73,141289.49,3,1,0.0222
2025-07-15,204144.83,162077.4,8,4,0.0224
2025-07-16,304189.94,243449.41,6,6,0.0201
2025-07-17,151897.25,120087.78,1,4,0.022
2025-07-18,188755.77,150201.7,8,4,0.0244
2025-07-19,57605.19,49275.64,2,2,0.0245
2025-07-20,129073.44,96321.08,4,2,0.0194
2025-07-21,236693.11,194569.47,4,3,0.0218
2025-07-22,199937.53,155048.76,8,2,0.0187
2025-07-23,252899.98,209172.31,10,4,0.0245
2025-07-24,275238.52,227043.29,8,6,0.0115
2025-07-25,250068.63,194953.83,8,1,0.0193
2025-07-26,79150.93,68047.64,4,0,0.0184
2025-07-27,121944.2,95679.79,6,2,0.0254
2025-07-28,176059.41,133214.77,4,4,0.0222
2025-07-29,308905.84,239069.46,4,5,0.0222
2025-07-30,0.0,0.0,0,0,0.0
2025-07-31,233551.55,197148.74,4,6,0.0183
2025-08-01,134005.37,115824.61,5,3,0.0283
2025-08-02,117739.79,92515.98,6,3,0.0227
2025-08-03,126384.43,106175.29,3,0,0.0204
2025-08-04,248758.38,191411.99,5,7,0.0198
2025-08-05,276757.48,233015.26,4,3,0.0216
2025-08-06,225681.15,176614.19,7,4,0.0231
2025-08-07,194013.7,142383.4,7,3,0.0209
2025-08-08,244930.11,197911.2,4,5,0.0175
2025-08-09,120378.48,93132.06,5,1,0.0187
2025-08-10,101679.2,85409.73,7,0,0.0219
2025-08-11,211512.85,172020.94,4,1,0.0226
2025-08-12,234774.52,172390.74,5,2,0.0209
2025-08-13,220788.92,181860.9,11,8,0.0201
2025-08-14,220924.94,170191.07,5,2,0.0212
2025-08-15,240410.24,199921.01,11,2,0.0212
2025-08-16,103772.61,84865.89,4,2,0.0185
2025-08-17,105308.82,80099.88,2,2,0.0189
2025-08-18,336128.84,262184.86,9,8,0.0215
2025-08-19,191758.45,158302.93,2,5,0.0146
2025-08-20,212777.92,174476.5,5,2,0.0248
2025-08-21,260163.25,210809.69,6,4,0.0206
2025-08-22,205690.21,172610.38,4,5,0.0169
2025-08-23,77832.22,60278.01,3,3,0.026
2025-08-24,77514.47,57851.84,4,0,0.0191
2025-08-25,206447.23,170889.09,4,3,0.0175
2025-08-26,245741.63,203203.19,1,5,0.0245
2025-08-27,243012.84,194021.25,9,2,0.0159
2025-08-28,161623.18,125114.85,3,2,0.0182
2025-08-29,181349.47,155365.7,6,7,0.0227
2025-08-30,111099.91,87395.82,4,0,0.025
2025-08-31,134828.38,108119.0,3,5,0.0191
2025-09-01,241040.24,188082.17,3,8,0.0218
2025-09-02,218654.68,181077.29,7,7,0.0268
2025-09-03,145215.6,112231.97,4,1,0.02
2025-09-04,218847.43,161890.19,7,2,0.0188
2025-09-05,259475.75,218248.45,9,4,0.0241
2025-09-06,87137.04,64389.93,5,2,0.0206
2025-09-07,126860.23,103189.75,6,4,0.0221
2025-09-08,225203.51,184833.66,2,2,0.0223
2025-09-09,333883.37,270873.19,4,7,0.018
2025-09-10,184063.34,140229.68,6,5,0.0223
2025-09-11,269118.12,213408.25,5,3,0.0158
2025-09-12,309109.62,238080.17,10,4,0.0203
2025-09-13,116041.97,87806.24,1,0,0.0211
2025-09-14,104445.4,84276.98,3,3,0.0186
2025-09-15,288490.66,240128.47,7,3,0.0149
2025-09-16,256779.79,205581.37,5,4,0.0216
2025-09-17,211021.71,156816.02,4,3,0.0221
2025-09-18,211380.09,168828.04,5,5,0.0186
2025-09-19,202307.98,170388.94,5,5,0.0176
2025-09-20,127171.64,94923.31,6,1,0.0214
2025-09-21,89006.42,68460.2,7,1,0.0221
2025-09-22,241853.62,178774.64,3,5,0.0236
2025-09-23,165128.32,126024.22,7,1,0.0238
2025-09-24,207549.11,183954.72,4,2,0.0206
2025-09-25,175014.75,146339.39,7,8,0.0155
2025-09-26,123430.17,92450.41,2,0,0.0175
2025-09-27,98212.07,78188.0,4,3,0.0257
2025-09-28,89939.64,66452.48,3,0,0.0179
2025-09-29,237324.84,193664.11,5,8,0.0248
2025-09-30,308284.04,257465.97,7,7,0.0231
2025-10-01,270953.47,223821.87,11,5,0.0189
2025-10-02,198245.7,160759.35,5,4,0.0209
2025-10-03,245347.27,193553.72,5,4,0.0184
2025-10-04,111510.09,91071.48,6,0,0.0213
2025-10-05,129612.85,112560.22,1,0,0.024
2025-10-06,186014.28,151379.17,7,2,0.0257
2025-10-07,286546.91,223035.58,11,6,0.0168
2025-10-08,238866.38,194760.06,6,5,0.0235
2025-10-09,233701.12,185793.81,3,3,0.0223
2025-10-10,338969.2,265528.9,10,5,0.0199
2025-10-11,99868.2,83224.02,1,5,0.0241
2025-10-12,80819.08,60615.1,5,0,0.0211
2025-10-13,221520.98,174211.45,4,5,0.0201
2025-10-14,245792.31,183974.74,5,7,0.0221
2025-10-15,236567.75,191480.86,9,3,0.0228
2025-10-16,364880.75,292942.61,5,7,0.0178
2025-10-17,280007.89,229366.59,7,1,0.0204
2025-10-18,153344.09,123751.79,5,1,0.019
2025-10-19,105009.75,84975.82,6,1,0.0201
2025-10-20,316915.88,271206.86,7,1,0.0239
2025-10-21,201038.16,161496.01,0,5,0.0209
2025-10-22,299068.31,240558.14,4,3,0.0242
2025-10-23,260636.98,219174.45,5,7,0.0243
2025-10-24,215696.06,171034.57,7,5,0.0221
2025-10-25,97104.57,83320.49,8,1,0.0198
2025-10-26,79408.55,64264.07,3,0,0.0209
2025-10-27,280927.22,230985.79,11,8,0.0218
2025-10-28,190100.27,151548.17,6,5,0.0172
2025-10-29,298821.23,245845.46,8,3,0.0212
2025-10-30,210332.91,158109.26,5,1,0.0181
2025-10-31,229720.13,194742.99,7,5,0.0213
2025-11-01,89072.64,69175.16,6,0,0.0237
2025-11-02,146216.86,110133.3,5,2,0.0229
2025-11-03,176709.96,152008.66,1,5,0.0145
2025-11-04,284151.71,215518.36,2,4,0.024
