month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,40,637024.6,152885.9,True,0.1025
2025-08,38,592984.58,142316.3,True,0.1021
2025-09,40,649616.79,155908.03,True,0.1192
2025-10,42,670317.31,160876.15,True,0.1433
2025-11,40,628926.46,150942.35,True,0.1354
2025-12,39,627847.12,150683.31,True,0.1452
2026-01,38,619352.36,148644.57,True,0.1522
2026-02,36,583187.34,139964.96,True,0.1688
2026-03,37,605732.42,145375.78,True,0.1441
2026-04,36,607762.31,145862.95,True,0.1637
2026-05,38,642912.52,77149.5,False,0.1911
2026-06,35,570044.58,68405.35,False,0.1881
