tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,524592.8,524592.8,58892.61,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,584526.87,584526.87,63810.31,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,553038.5,553038.5,67562.5,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-21,1,647003.7,647003.7,77473.33,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,802485.54,802485.54,78957.27,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-23,3,635928.76,635928.76,66217.85,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-22,2,605666.58,605666.58,70396.79,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-22,2,617308.3,617308.3,79698.51,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-21,1,636894.5,636894.5,61561.67,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-22,2,608205.58,608205.58,82006.21,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-21,1,644542.88,644542.88,65998.43,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-21,1,576331.0,576331.0,80473.36,False
