month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,41,649876.0,77985.12,False,0.0843
2025-08,42,674244.39,161818.65,True,0.1072
2025-09,43,701633.3,168391.99,True,0.1163
2025-10,45,734493.51,176278.44,True,0.1454
2025-11,46,765550.63,183732.15,True,0.14
2025-12,42,680877.16,163410.52,True,0.1545
2026-01,47,745453.76,178908.9,True,0.1616
2026-02,41,660035.19,79204.22,False,0.1938
2026-03,44,738480.48,177235.32,True,0.1961
2026-04,40,664695.72,79763.49,False,0.2066
2026-05,40,660839.11,158601.39,True,0.2327
2026-06,39,650118.04,78014.16,False,0.2415
