month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,29,455153.26,109236.78,True,0.0931
2025-08,30,490424.11,117701.79,True,0.0927
2025-09,29,469486.59,112676.78,True,0.0953
2025-10,35,571216.11,137091.87,True,0.073
2025-11,38,635496.72,152519.21,True,0.0855
2025-12,33,538794.42,129310.66,True,0.091
2026-01,32,523839.12,125721.39,True,0.0886
2026-02,34,545142.28,130834.15,True,0.096
2026-03,34,555604.58,133345.1,True,0.0956
2026-04,34,554087.5,132981.0,True,0.1069
2026-05,34,573983.71,137756.09,True,0.0993
2026-06,33,568602.91,136464.7,True,0.0874
