tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-21,1,1594333.39,1594333.39,156528.51,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-25,5,1617896.87,1617896.87,166252.88,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-24,4,1510472.53,1388577.0,139578.19,True
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-30,10,1523482.21,1523482.21,127510.97,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-22,2,1558820.85,1681858.29,238107.81,True
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-27,7,1443350.43,1596887.37,216338.87,True
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-27,7,1358716.37,1358716.37,155993.23,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-21,1,1345389.89,1345389.89,174508.7,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-25,5,1304451.57,1304451.57,160233.73,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-24,4,1339527.23,1339527.23,100339.17,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-21,1,1118051.02,1118051.02,125386.86,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-21,1,1185617.83,1185617.83,154769.53,False
