tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-23,3,593633.67,593633.67,58983.62,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,341083.95,341083.95,28943.31,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,658453.33,658453.33,63579.95,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-28,8,993116.52,993116.52,108140.14,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-24,4,651171.1,608955.11,32771.28,True
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,922852.25,922852.25,110270.39,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-22,2,474733.27,474733.27,53698.12,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-25,5,1314131.3,1314131.3,163015.13,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-26,6,769447.29,769447.29,88882.99,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-22,2,709188.8,709188.8,90072.43,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,984720.1,984720.1,147002.22,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-27,7,560198.99,560198.99,78528.92,False
