month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,17,272027.57,65286.62,True,0.0967
2025-08,18,287964.35,69111.44,True,0.1086
2025-09,21,354347.41,85043.38,True,0.0889
2025-10,21,346179.0,83082.96,True,0.086
2025-11,19,323645.03,38837.4,False,0.0945
2025-12,19,314263.86,75423.33,True,0.1081
2026-01,17,270817.92,64996.3,True,0.1021
2026-02,19,314265.97,75423.83,True,0.0977
2026-03,18,298850.66,71724.16,True,0.0918
2026-04,20,324040.33,77769.68,True,0.0937
2026-05,16,268841.96,64522.07,True,0.1201
2026-06,16,259140.9,62193.82,True,0.0913
