tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,965066.71,965066.71,106671.91,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,813771.15,813771.15,77894.85,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-25,5,1528691.03,1528691.03,159201.53,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,1409439.17,1409439.17,218898.64,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,946016.88,946016.88,102629.95,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-26,6,935472.32,935472.32,115320.78,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-03-03,11,1287160.03,1245108.49,74651.03,True
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,803246.98,803246.98,133970.34,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-21,1,756044.49,756044.49,94419.82,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-22,2,1550151.87,1550151.87,149436.37,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-30,10,1248774.31,1248774.31,162688.18,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-20,0,1110701.91,1110701.91,157113.4,False
