date,inflow_amount,outflow_amount,transaction_count,unique_counterparty_count,refund_rate
2025-07-01,0.0,0.0,0,0,0.0
2025-07-02,110430.51,57483.73,14,5,0.0299
2025-07-03,229130.95,128990.93,6,15,0.0405
2025-07-04,94487.52,55535.07,16,4,0.0363
2025-07-05,98379.59,53667.77,6,5,0.0288
2025-07-06,263799.92,136698.37,19,17,0.0301
2025-07-07,108056.82,57632.7,12,9,0.0399
2025-07-08,130580.9,75729.71,8,6,0.0326
2025-07-09,168507.09,94258.94,13,11,0.0379
2025-07-10,255584.59,124371.87,13,19,0.0349
2025-07-11,119665.49,70026.02,11,12,0.0361
2025-07-12,62527.88,34818.63,15,4,0.0295
2025-07-13,109652.03,64278.14,7,3,0.0279
2025-07-14,169747.9,88431.9,16,5,0.0359
2025-07-15,105561.3,55938.05,7,3,0.0368
2025-07-16,161130.47,98371.32,12,8,0.0312
2025-07-17,176962.58,104913.8,16,14,0.0401
2025-07-18,96051.58,51423.94,14,7,0.0345
2025-07-19,80351.8,41810.37,11,9,0.04
2025-07-20,62089.01,31982.11,7,3,0.0361
2025-07-21,150652.42,72076.83,13,10,0.039
2025-07-22,126577.17,75056.68,10,9,0.0338
2025-07-23,194626.66,116195.32,10,17,0.0291
2025-07-24,105348.28,48746.06,11,7,0.0367
2025-07-25,94661.88,57237.04,12,7,0.0386
2025-07-26,82345.84,44237.42,10,7,0.0342
2025-07-27,107075.05,63150.03,13,10,0.0355
2025-07-28,203076.06,122479.11,9,14,0.0316
2025-07-29,0.0,0.0,0,0,0.0
2025-07-30,167503.17,87548.16,13,8,0.0384
2025-07-31,0.0,0.0,0,0,0.0
2025-08-01,92568.26,59248.47,11,9,0.0353
2025-08-02,96665.38,57378.33,15,6,0.0335
2025-08-03,49658.2,26040.77,7,3,0.033
2025-08-04,0.0,0.0,0,0,0.0
2025-08-05,229384.05,120850.73,18,20,0.0361
2025-08-06,285072.11,175783.46,13,17,0.032
2025-08-07,214342.58,122934.2,19,16,0.0342
2025-08-08,104053.75,54147.73,10,6,0.0364
2025-08-09,103985.9,58959.85,8,12,0.0336
2025-08-10,202234.78,117072.5,8,10,0.0367
2025-08-11,142322.78,82972.4,10,8,0.0376
2025-08-12,158975.63,88496.74,7,17,0.0355
2025-08-13,224134.1,119041.82,12,21,0.0364
2025-08-14,0.0,0.0,0,0,0.0
2025-08-15,194164.86,98939.12,15,13,0.0309
2025-08-16,179127.43,94107.31,13,11,0.0356
2025-08-17,168190.97,95941.12,18,11,0.0377
2025-08-18,185194.33,118275.93,17,13,0.035
2025-08-19,216904.48,103513.38,15,18,0.0303
2025-08-20,0.0,0.0,0,0,0.0
2025-08-21,149382.11,87587.53,21,9,0.0368
2025-08-22,0.0,0.0,0,0,0.0
2025-08-23,129636.0,75237.24,15,4,0.0315
2025-08-24,195437.91,99519.23,19,21,0.0304
2025-08-25,204610.57,104161.89,15,20,0.032
2025-08-26,325013.38,176211.83,20,13,0.0387
2025-08-27,169759.94,100845.43,13,5,0.0394
2025-08-28,89515.59,45002.64,9,5,0.0336
2025-08-29,118087.04,59217.61,8,9,0.0278
