month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,23,366357.54,87925.81,True,0.061
2025-08,25,401523.8,96365.71,True,0.0858
2025-09,26,424266.72,101824.01,True,0.0878
2025-10,31,492519.82,118204.76,True,0.0695
2025-11,35,560864.22,134607.41,True,0.0873
2025-12,28,457664.87,109839.57,True,0.0816
2026-01,27,443962.09,106550.9,True,0.0832
2026-02,26,421346.87,101123.25,True,0.0736
2026-03,28,443347.61,106403.43,True,0.0742
2026-04,27,456519.14,109564.59,True,0.0777
2026-05,25,409123.21,98189.57,True,0.0696
2026-06,24,409223.8,98213.71,True,0.0814
