month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,8,128271.29,30785.11,True,0.0324
2025-08,8,130623.86,31349.73,True,0.0338
2025-09,8,128809.42,30914.26,True,0.0356
2025-10,8,129459.45,31070.27,True,0.0309
2025-11,9,143654.93,34477.18,True,0.0198
2025-12,8,132499.97,31799.99,True,0.0273
2026-01,8,135737.88,32577.09,True,0.0327
2026-02,8,135323.99,32477.76,True,0.0403
2026-03,9,155510.66,37322.56,True,0.0171
2026-04,8,133100.9,31944.22,True,0.0432
2026-05,9,148085.98,35540.64,True,0.0382
2026-06,9,147274.81,35345.95,True,0.0285
