tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-21,1,925171.92,925171.92,122204.5,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,884402.28,884402.28,88926.71,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,928927.77,928927.77,118440.83,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,997220.76,997220.76,123075.5,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-21,1,987066.65,987066.65,117726.01,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-21,1,998625.55,998625.55,153693.32,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,921934.31,921934.31,126185.01,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,1026447.25,1026447.25,116210.37,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,996570.14,996570.14,99971.77,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,988930.64,988930.64,137630.38,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,1035638.89,1035638.89,103840.63,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-21,1,988828.68,988828.68,118496.83,False
