month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,16,259231.6,62215.58,True,0.1709
2025-08,15,242713.64,58251.27,True,0.1742
2025-09,16,262441.23,62985.9,True,0.1841
2025-10,16,253956.85,60949.64,True,0.1982
2025-11,17,273824.08,65717.78,True,0.1937
2025-12,16,259115.45,62187.71,True,0.2096
2026-01,15,240497.25,57719.34,True,0.2056
2026-02,14,222099.4,53303.86,True,0.2125
2026-03,15,242850.61,58284.15,True,0.225
2026-04,14,235293.36,56470.41,True,0.2282
2026-05,14,242953.66,58308.88,True,0.2436
2026-06,14,235089.93,56421.58,True,0.2446
