month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,33,515067.92,123616.3,True,0.07
2025-08,31,483594.55,58031.35,False,0.1043
2025-09,35,562779.63,135067.11,True,0.0954
2025-10,35,582145.57,139714.94,True,0.1003
2025-11,36,588810.65,141314.56,True,0.1097
2025-12,33,525683.33,126164.0,True,0.1125
2026-01,32,523878.79,125730.91,True,0.1148
2026-02,34,546745.99,131219.04,True,0.1253
2026-03,32,538136.67,129152.8,True,0.1447
2026-04,32,517059.25,62047.11,False,0.1296
2026-05,30,488037.24,117128.94,True,0.1484
2026-06,30,482385.84,115772.6,True,0.1491
