tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-21,1,460196.68,460196.68,55601.09,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-21,1,506045.3,506045.3,56377.99,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,493045.5,493045.5,40753.89,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-21,1,506903.96,506903.96,65150.87,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-23,3,528762.22,528762.22,64783.63,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,538376.2,538376.2,46345.36,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-21,1,523582.27,523582.27,56815.73,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-21,1,506647.69,506647.69,76202.65,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-21,1,522077.15,499477.17,77584.33,True
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-21,1,529886.8,529886.8,51035.62,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,505021.03,505021.03,53135.86,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-22,2,540201.7,540201.7,67362.07,False
