month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,15,239447.53,57467.41,True,0.0743
2025-08,15,234853.74,56364.9,True,0.0635
2025-09,17,280893.01,67414.32,True,0.0612
2025-10,21,342034.52,82088.28,True,0.0748
2025-11,23,361230.48,86695.32,True,0.0653
2025-12,18,289325.19,69438.05,True,0.0626
2026-01,18,285444.53,68506.69,True,0.072
2026-02,19,310158.62,74438.07,True,0.0511
2026-03,19,314604.18,75505.0,True,0.0701
2026-04,19,308935.39,74144.49,True,0.0694
2026-05,18,308379.8,74011.15,True,0.0786
2026-06,18,288426.98,69222.48,True,0.0736
