tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,1219163.89,1219163.89,142619.22,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,1162599.2,1162599.2,117908.74,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,1271006.01,1271006.01,147998.65,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-20,0,1324533.45,1324533.45,111479.8,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-21,1,1424815.03,1424815.03,200596.68,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-20,0,1378884.39,1378884.39,126593.48,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,1236424.64,1236424.64,124982.53,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-21,1,1340773.01,1340773.01,173421.25,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-21,1,1264998.08,1264998.08,156320.35,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-20,0,1266057.93,1266057.93,157892.8,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,1172135.1,1172135.1,174299.84,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-21,1,1409302.74,1409302.74,152460.65,False
