month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,33,523863.15,125727.16,True,0.0405
2025-08,32,506439.59,121545.5,True,0.0419
2025-09,32,507651.41,121836.34,True,0.0163
2025-10,34,523885.76,125732.58,True,0.0365
2025-11,38,618209.82,148370.36,True,0.027
2025-12,34,560403.56,134496.85,True,0.047
2026-01,34,549717.68,131932.24,True,0.0188
2026-02,35,586200.87,140688.21,True,0.0278
2026-03,35,580478.54,139314.85,True,0.035
2026-04,33,562464.36,134991.45,True,0.0379
2026-05,35,558817.9,134116.3,True,0.0372
2026-06,36,606526.98,145566.48,True,0.0319
