month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,26,424282.94,101827.91,True,0.0229
2025-08,26,400845.01,48101.4,False,0.032
2025-09,27,425947.16,102227.32,True,0.0235
2025-10,28,455390.17,109293.64,True,0.0286
2025-11,29,454781.66,109147.6,True,0.0194
2025-12,27,437666.51,105039.96,True,0.0152
2026-01,27,443993.27,106558.38,True,0.0374
2026-02,27,445457.19,106909.73,True,0.0177
2026-03,26,430871.08,103409.06,True,0.0168
2026-04,27,442068.58,106096.46,True,0.0292
2026-05,28,472784.61,113468.31,True,0.0337
2026-06,27,445299.87,106871.97,True,0.0407
