date,inflow_amount,outflow_amount,transaction_count,unique_counterparty_count,refund_rate
2025-07-01,239771.27,183411.95,7,8,0.0364
2025-07-02,180934.62,139187.89,3,1,0.0327
2025-07-03,202756.87,169033.44,2,3,0.0358
2025-07-04,179702.73,124283.39,2,2,0.0371
2025-07-05,127701.63,100751.33,1,3,0.0363
2025-07-06,82873.15,67010.39,6,1,0.0381
2025-07-07,147557.36,113117.89,2,4,0.0312
2025-07-08,243130.5,189938.27,3,1,0.0369
2025-07-09,192243.23,155780.83,6,5,0.0364
2025-07-10,228824.27,184498.32,7,2,0.0355
2025-07-11,229418.67,194028.24,5,3,0.0334
2025-07-12,121504.58,98021.95,6,4,0.0408
2025-07-13,100061.95,86484.57,4,2,0.0373
2025-07-14,181950.59,158267.77,7,5,0.037
2025-07-15,251063.38,204191.03,5,5,0.0373
2025-07-16,0.0,0.0,0,0,0.0
2025-07-17,268675.81,236703.47,9,4,0.0348
2025-07-18,164171.1,119969.21,3,4,0.0311
2025-07-19,95576.33,76206.69,5,1,0.0364
2025-07-20,89632.23,74126.28,4,0,0.0352
2025-07-21,278152.65,237299.59,3,5,0.0405
2025-07-22,240883.17,193155.14,8,0,0.0368
2025-07-23,215810.25,172959.44,5,2,0.0384
2025-07-24,0.0,0.0,0,0,0.0
2025-07-25,233675.41,186152.39,4,3,0.0383
2025-07-26,105475.41,86556.12,3,1,0.0376
2025-07-27,112143.39,86029.58,6,3,0.0381
2025-07-28,121375.46,92469.16,2,5,0.0413
2025-07-29,192608.87,146241.3,4,3,0.0358
2025-07-30,246146.09,194367.48,2,3,0.0406
2025-07-31,185061.93,151562.42,2,2,0.0355
2025-08-01,177003.52,140856.0,3,3,0.0345
2025-08-02,87500.22,66797.4,3,3,0.0384
2025-08-03,84080.18,63720.23,5,3,0.0388
2025-08-04,198688.64,162992.92,7,3,0.0385
2025-08-05,241674.99,194914.91,2,1,0.0344
2025-08-06,150145.33,117047.65,5,1,0.0421
2025-08-07,219595.48,170594.83,4,6,0.0382
2025-08-08,336908.65,285661.81,6,6,0.0373
2025-08-09,120970.88,96305.52,2,4,0.0398
2025-08-10,101468.91,82473.27,4,1,0.0408
2025-08-11,197492.46,150552.8,6,4,0.0369
2025-08-12,203059.81,170481.86,5,2,0.0383
2025-08-13,185687.55,154153.58,6,3,0.0385
2025-08-14,195887.13,149449.92,9,4,0.039
2025-08-15,214641.64,177273.41,6,5,0.0385
2025-08-16,79543.2,63063.46,4,1,0.0402
2025-08-17,116631.06,96241.6,6,1,0.0405
2025-08-18,206527.73,170704.53,5,4,0.0393
2025-08-19,200203.41,165271.34,2,7,0.0375
2025-08-20,181552.69,143910.38,7,1,0.0384
2025-08-21,269012.28,223526.15,7,6,0.0384
2025-08-22,196273.16,161619.76,1,3,0.037
2025-08-23,91048.97,66549.4,2,1,0.0376
2025-08-24,125614.94,100472.65,6,2,0.0335
2025-08-25,188179.2,146641.18,2,6,0.0401
2025-08-26,264828.78,206301.44,5,2,0.0386
2025-08-27,182473.4,141397.99,8,6,0.0356
2025-08-28,162086.92,143210.56,10,2,0.0396
2025-08-29,181003.21,146322.7,5,3,0.0414
