tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-21,1,1398156.68,1398156.68,82275.69,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,1474179.95,1474179.95,143556.5,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,1511548.73,1511548.73,194644.7,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-22,2,1625637.42,1625637.42,168671.61,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,1707865.66,1707865.66,183088.5,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-23,3,1541714.34,1541714.34,148182.66,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,1517858.09,1517858.09,179920.69,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,1614367.39,1614367.39,252101.28,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-21,1,1686778.07,1686778.07,189697.57,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-21,1,1599983.22,1599983.22,217927.49,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,1647376.22,1647376.22,201841.23,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-23,3,1618434.48,1618434.48,221559.8,False
