month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,23,366106.73,87865.62,True,0.0214
2025-08,25,395902.72,95016.65,True,0.0286
2025-09,23,361543.54,86770.45,True,0.0209
2025-10,25,386532.3,92767.75,True,0.0164
2025-11,27,442292.03,106150.09,True,0.0161
2025-12,26,428541.04,102849.85,True,0.0284
2026-01,24,387694.02,93046.56,True,0.027
2026-02,25,413035.29,99128.47,True,0.0236
2026-03,25,412583.0,99019.92,True,0.038
2026-04,25,421970.31,101272.87,True,0.0089
2026-05,24,399718.67,95932.48,True,0.0278
2026-06,24,399468.43,95872.42,True,0.0212
